DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
15,Boyacá,15810,Tipacoque,2022,Total,"3,334"
15,Boyacá,15814,Toca,2022,Total,"9,013"
15,Boyacá,15816,Togüí,2022,Total,"4,393"
15,Boyacá,15820,Tópaga,2022,Total,"3,747"
15,Boyacá,15822,Tota,2022,Total,"5,303"
15,Boyacá,15832,Tununguá,2022,Total,"1,598"
15,Boyacá,15835,Turmequé,2022,Total,"6,239"
15,Boyacá,15837,Tuta,2022,Total,"8,577"
15,Boyacá,15839,Tutazá,2022,Total,"2,066"
15,Boyacá,15842,Úmbita,2022,Total,"7,654"
15,Boyacá,15861,Ventaquemada,2022,Total,"16,313"
15,Boyacá,15879,Viracachá,2022,Total,"2,847"
15,Boyacá,15897,Zetaquira,2022,Total,"4,687"
17,Caldas,17001,Manizales,2022,Total,"454,077"
17,Caldas,17013,Aguadas,2022,Total,"23,452"
17,Caldas,17042,Anserma,2022,Total,"37,335"
17,Caldas,17050,Aranzazu,2022,Total,"10,741"
17,Caldas,17088,Belalcázar,2022,Total,"10,837"
17,Caldas,17174,Chinchiná,2022,Total,"53,184"
17,Caldas,17272,Filadelfia,2022,Total,"11,600"
17,Caldas,17380,La Dorada,2022,Total,"75,319"
17,Caldas,17388,La Merced,2022,Total,"5,985"
17,Caldas,17433,Manzanares,2022,Total,"18,106"
17,Caldas,17442,Marmato,2022,Total,"9,330"
17,Caldas,17444,Marquetalia,2022,Total,"13,727"
17,Caldas,17446,Marulanda,2022,Total,"2,589"
17,Caldas,17486,Neira,2022,Total,"21,484"
17,Caldas,17495,Norcasia,2022,Total,"6,235"
17,Caldas,17513,Pácora,2022,Total,"15,593"
17,Caldas,17524,Palestina,2022,Total,"15,956"
17,Caldas,17541,Pensilvania,2022,Total,"20,102"
17,Caldas,17614,Riosucio,2022,Total,"52,878"
17,Caldas,17616,Risaralda,2022,Total,"10,753"
17,Caldas,17653,Salamina,2022,Total,"19,733"
17,Caldas,17662,Samaná,2022,Total,"20,317"
17,Caldas,17665,San José,2022,Total,"5,002"
17,Caldas,17777,Supía,2022,Total,"29,884"
17,Caldas,17867,Victoria,2022,Total,"10,533"
17,Caldas,17873,Villamaría,2022,Total,"68,625"
17,Caldas,17877,Viterbo,2022,Total,"13,078"
18,Caquetá,18001,Florencia,2022,Total,"176,706"
18,Caquetá,18029,Albania,2022,Total,"4,489"
18,Caquetá,18094,Belén de Los Andaquíes,2022,Total,"11,418"
18,Caquetá,18150,Cartagena del Chairá,2022,Total,"31,817"
18,Caquetá,18205,Curillo,2022,Total,"7,938"
18,Caquetá,18247,El Doncello,2022,Total,"19,692"
18,Caquetá,18256,El Paujíl,2022,Total,"18,859"
18,Caquetá,18410,La Montañita,2022,Total,"15,003"
18,Caquetá,18460,Milán,2022,Total,"10,165"
18,Caquetá,18479,Morelia,2022,Total,"3,826"
18,Caquetá,18592,Puerto Rico,2022,Total,"26,838"
18,Caquetá,18610,San José del Fragua,2022,Total,"13,379"
18,Caquetá,18753,San Vicente del Caguán,2022,Total,"53,717"
18,Caquetá,18756,Solano,2022,Total,"11,749"
18,Caquetá,18785,Solita,2022,Total,"6,480"
18,Caquetá,18860,Valparaíso,2022,Total,"7,199"
19,Cauca,19001,Popayán,2022,Total,"330,750"
19,Cauca,19022,Almaguer,2022,Total,"18,468"
19,Cauca,19050,Argelia,2022,Total,"27,013"
19,Cauca,19075,Balboa,2022,Total,"21,780"
19,Cauca,19100,Bolívar,2022,Total,"37,586"
19,Cauca,19110,Buenos Aires,2022,Total,"32,568"
19,Cauca,19130,Cajibío,2022,Total,"43,527"
19,Cauca,19137,Caldono,2022,Total,"42,447"
